cause_of_loss,avg_loss_percentage
Mechanical Threshing Of Millet Caused Higher Losses (19.3% Losses) Than Manual (6.3%),12.8
Mirasi Et Al. (2013) Measured Grain Losses Of Different Wheat Varieties With Different  Models Of Combine During Harvest Stage. They Observed That Average Pre Harvest Losses In All Fields Of  Study Were 31.4 Kg Ha-1  Accounting For 12.71 Percent Of Total Losses.,12.71
"Major Reasons Are  Harvesting And  Handling And Did Not  Have Enough Time To  Harvest All.  Other Reasons  Include Weather  Conditions, Wrong  Size And Appearance,  Agricultural  Problems",12.7
Spoilage,12.533333333333333
"Triming Of Leaves, Sold Fresh",12.5
Immaturity Insect Damage Rotting/Decay,12.5
"Rodents, Insects And Dampness At Storage Places",12.020000000000001
"Harvest Land Preparation And Soil Management Are Poorly Conducted, And Pests And Diseases Are Ineffectively Controlled, Leading To Low Yields. Inappropriate Harvesting Tools And An Insufficiently Trained Workforce. All Produce Earmarked For The Fresh Food Market Is Packed In So-Called Extended Bags, Which Farmers And Brokers Fill With Unselected Harvested Potatoes - I.E. They Include Green, Cut, Bruised Or Rotten Produce. Of The Potatoes Placed On The Market, Nearly A Quarter Are Damaged Or Green. Almost All Of These Potatoes Are Eventually Sold, But The Quality Issues Mean Prices Must Sometimes Be Lowered.",12.0
Poor Packaging And Transportation Methods,12.0
Physical Losses,11.832962962962963
Weevil And Large Grain Borer,11.83
Sickle Harvesting,11.8
Pest/ Disease,11.75
Storage,11.3125
Critical Loss Points  • Following Review Of Literature And Through Key Informant Interview  • Harvesting  • Storage And Associated Grain Processing Stages  • Milling Identified As Critical Loss Points    1. Harvesting Causes  -Carelessness And Insufficient  Supervision  Thus Spillage  -Lack Of Proper Harvesting Tools For  Both Maize And Sunflower  2. Storage Causes  -Grain Contamination - Ground  Drying  -Improper Threshing - Damage  -Poor Storage Facilities - Rodent  Attack And Leakage Thus Grain  Spoilage  -Storage Pest Damage - Loss In  Quality And Rushed Sales     Causes Of Milling Losses Include  -Spillage  -Poor Pre-Treatments Resulting In Grain  Contamination At This Stage  -Lack Of Proper Maintenance,11.216666666666667
"Diseases And  Damage, Quality,  Appearance.",11.0
